Name: juniyasyos/sp-ikp
Version: dev-main b7c156f
Licenses: proprietary
Dependencies:

Name                                         Version    Licenses                                 
aws/aws-crt-php                              v1.2.7     Apache-2.0                               
aws/aws-sdk-php                              3.383.1    Apache-2.0                               
barryvdh/laravel-debugbar                    v4.2.8     MIT                                      
bezhansalleh/filament-plugin-essentials      1.2.1      MIT                                      
bezhansalleh/filament-shield                 4.2.0      MIT                                      
blade-ui-kit/blade-heroicons                 2.7.0      MIT                                      
blade-ui-kit/blade-icons                     1.10.0     MIT                                      
brianium/paratest                            v7.20.0    MIT                                      
brick/math                                   0.14.8     MIT                                      
carbonphp/carbon-doctrine-types              3.2.0      MIT                                      
chillerlan/php-qrcode                        5.0.5      MIT, Apache-2.0                          
chillerlan/php-settings-container            3.3.0      MIT                                      
composer/pcre                                3.3.2      MIT                                      
composer/semver                              3.4.4      MIT                                      
composer/xdebug-handler                      3.0.5      MIT                                      
danharrin/date-format-converter              v0.3.1     MIT                                      
danharrin/livewire-rate-limiting             v2.2.0     MIT                                      
dflydev/dot-access-data                      v3.0.3     MIT                                      
doctrine/deprecations                        1.1.6      MIT                                      
doctrine/inflector                           2.1.0      MIT                                      
doctrine/lexer                               3.0.1      MIT                                      
dragonmantank/cron-expression                v3.6.0     MIT                                      
egulias/email-validator                      4.0.4      MIT                                      
fakerphp/faker                               v1.24.1    MIT                                      
fidry/cpu-core-counter                       1.3.0      MIT                                      
filament/actions                             v4.11.6    MIT                                      
filament/filament                            v4.11.6    MIT                                      
filament/forms                               v4.11.6    MIT                                      
filament/infolists                           v4.11.6    MIT                                      
filament/notifications                       v4.11.6    MIT                                      
filament/query-builder                       v4.11.6    MIT                                      
filament/schemas                             v4.11.6    MIT                                      
filament/spatie-laravel-media-library-plugin v4.11.6    MIT                                      
filament/support                             v4.11.6    MIT                                      
filament/tables                              v4.11.6    MIT                                      
filament/widgets                             v4.11.6    MIT                                      
filp/whoops                                  2.18.4     MIT                                      
firebase/php-jwt                             v6.11.1    BSD-3-Clause                             
fruitcake/php-cors                           v1.4.0     MIT                                      
graham-campbell/result-type                  v1.1.4     MIT                                      
guava/filament-modal-relation-managers       2.0.0      MIT                                      
guzzlehttp/guzzle                            7.10.5     MIT                                      
guzzlehttp/promises                          2.4.1      MIT                                      
guzzlehttp/psr7                              2.10.4     MIT                                      
guzzlehttp/uri-template                      v1.0.6     MIT                                      
hamcrest/hamcrest-php                        v2.1.1     BSD-3-Clause                             
jean85/pretty-package-versions               2.1.1      MIT                                      
juniyasyos/filament-media-manager            v1.4.1     MIT                                      
juniyasyos/nexaid-client                     v1.2.11    Proprietary                              
kirschbaum-development/eloquent-power-joins  4.3.2      MIT                                      
laravel/framework                            v12.61.0   MIT                                      
laravel/pail                                 v1.2.7     MIT                                      
laravel/pint                                 v1.29.1    MIT                                      
laravel/prompts                              v0.3.18    MIT                                      
laravel/sail                                 v1.61.0    MIT                                      
laravel/serializable-closure                 v2.0.13    MIT                                      
laravel/tinker                               v2.11.1    MIT                                      
league/commonmark                            2.8.2      BSD-3-Clause                             
league/config                                v1.2.0     BSD-3-Clause                             
league/csv                                   9.28.0     MIT                                      
league/flysystem                             3.34.0     MIT                                      
league/flysystem-aws-s3-v3                   3.34.0     MIT                                      
league/flysystem-local                       3.31.0     MIT                                      
league/mime-type-detection                   1.16.0     MIT                                      
league/uri                                   7.8.1      MIT                                      
league/uri-components                        7.8.1      MIT                                      
league/uri-interfaces                        7.8.1      MIT                                      
leandrocfe/filament-apex-charts              5.1.0      MIT                                      
livewire/livewire                            v3.8.0     MIT                                      
maennchen/zipstream-php                      3.2.2      MIT                                      
mockery/mockery                              1.6.12     BSD-3-Clause                             
monolog/monolog                              3.10.0     MIT                                      
mtdowling/jmespath.php                       2.8.0      MIT                                      
myclabs/deep-copy                            1.13.4     MIT                                      
nesbot/carbon                                3.11.4     MIT                                      
nette/php-generator                          v4.2.2     BSD-3-Clause, GPL-2.0-only, GPL-3.0-only 
nette/schema                                 v1.3.5     BSD-3-Clause, GPL-2.0-only, GPL-3.0-only 
nette/utils                                  v4.1.4     BSD-3-Clause, GPL-2.0-only, GPL-3.0-only 
nikic/php-parser                             v5.7.0     BSD-3-Clause                             
nunomaduro/collision                         v8.9.4     MIT                                      
nunomaduro/termwind                          v2.4.0     MIT                                      
nwidart/laravel-modules                      v12.0.5    MIT                                      
openspout/openspout                          v4.32.0    MIT                                      
paragonie/constant_time_encoding             v3.1.3     MIT                                      
pestphp/pest                                 v4.7.2     MIT                                      
pestphp/pest-plugin                          v4.0.0     MIT                                      
pestphp/pest-plugin-arch                     v4.0.2     MIT                                      
pestphp/pest-plugin-laravel                  v4.1.0     MIT                                      
pestphp/pest-plugin-mutate                   v4.0.1     MIT                                      
